id,name,description,category,price,maxStack,icon,throwable,#주석#
100001,item_name_100001,item_desc_100001,tool,100,1,,TRUE,괭이
100002,item_name_100002,item_desc_100002,tool,150,1,,TRUE,물뿌리개
100003,item_name_100003,item_desc_100003,tool,200,1,,TRUE,검
100004,item_name_100004,item_desc_100004,tool,250,1,,TRUE,도끼
100101,item_name_100101,item_desc_100101,farm,100,20,,TRUE,씨앗1
100102,item_name_100102,item_desc_100102,farm,150,30,,TRUE,씨앗2
100103,item_name_100103,item_desc_100103,farm,200,40,,TRUE,씨앗3
100111,item_name_100111,item_desc_100111,farm,10,50,,TRUE,비료1
100112,item_name_100112,item_desc_100112,farm,15,100,,TRUE,비료2
100113,item_name_100113,item_desc_100113,farm,20,150,,TRUE,비료3
200101,item_name_200101,item_desc_200101,equipment,150,1,,TRUE,투구
200102,item_name_200102,item_desc_200102,equipment,200,1,,TRUE,투구
200201,item_name_200201,item_desc_200201,equipment,200,1,,TRUE,갑옷
200202,item_name_200202,item_desc_200202,equipment,250,1,,TRUE,갑옷
200301,item_name_200301,item_desc_200301,equipment,150,1,,TRUE,장갑
200302,item_name_200302,item_desc_200302,equipment,200,1,,TRUE,장갑
200401,item_name_200401,item_desc_200401,equipment,300,1,,TRUE,신발
200402,item_name_200402,item_desc_200402,equipment,450,1,,TRUE,신발
200501,item_name_200501,item_desc_200501,equipment,100,1,,TRUE,장신구
200502,item_name_200502,item_desc_200502,equipment,150,1,,TRUE,장신구
300001,item_name_300001,item_desc_300001,consumable,10,50,,TRUE,포션1
300002,item_name_300002,item_desc_300002,consumable,11,50,,TRUE,포션2
300003,item_name_300003,item_desc_300003,consumable,12,50,,TRUE,포션3
300004,item_name_300004,item_desc_300004,consumable,13,50,,TRUE,포션4
300005,item_name_300005,item_desc_300005,consumable,14,50,,TRUE,포션5
400001,item_name_400001,item_desc_400001,material,100,50,,TRUE,재료1
400002,item_name_400002,item_desc_400002,material,200,50,,TRUE,재료2
400003,item_name_400003,item_desc_400003,material,10,50,,TRUE,재료3
400004,item_name_400004,item_desc_400004,material,20,50,,FALSE,재료4
