id,name,type,description,price,maxstack,icon,canbedestroy
400001,material1,material,material 1 description,10,50,,TRUE
400002,material2,material,material 2 description,20,50,,TRUE
400003,material3,material,material 3 description,30,50,,TRUE
400004,material4,material,material 4 description,40,50,,TRUE
400005,material5,material,material 5 description,50,50,,TRUE
400006,material6,material,material 6 description,60,50,,TRUE
400007,material7,material,material 7 description,70,50,,TRUE
400008,material8,material,material 8 description,80,50,,TRUE
400009,material9,material,material 9 description,90,50,,TRUE
400010,material10,material,material 10 description. can not be destroy,100,50,,FALSE
